Source,Target,Date,Preuves,Mea Culpa ?
Rick Rosen,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Rita Ora,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Rob Lowe,Pédophilie,1988,https://www.yahoo.com/entertainment/why-rob-lowe-calls-1988-225052723.html,
Rob Rinder,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Robert B. Sherman,Chanson « you’re sixteen »,1961,,
Robert de Niro,Radin,2020,https://www.lepoint.fr/people/covid-19-robert-de-niro-baisse-la-pension-de-son-ex-femme-18-07-2020-2384724_2116.php,
Robert de Niro,Validisme et complotisme antivax (autisme de son fils),2017,https://www.lexpress.fr/monde/amerique/de-niro-promet-100-000-dollars-a-qui-prouvera-que-les-vaccins-sont-sans-danger_1880341.html,
Robert Downey Junior,Soutien de Depp,,,
Robert Newman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Roger Birnbaum,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Roger Green,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Roman Polanski,Viols sur mineures,08/1977,,
Rosanne Barr,Trumpiste,11/2023,https://www.youtube.com/watch?v=PKlcU07tiy4&ab_channel=ForbesBreakingNews,
Rosie O’Donnell,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ross Duffer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ryan Feldman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sacha Baron Cohen,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sam Levinson,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sam Trammell,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sara Berman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sara Foster,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sarah Baker,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sarah Bremner,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sarah Cooper,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sarah Paulson,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sarah Treem,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Scott Braun,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Scott Braun,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Scott Neustadter,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Scott Tenley,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sean Combs,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sean Levy ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Serge Gainsbourg,Propagande pédophile,1984,Lemon Incest (et tout le reste de son comportement avec sa fille),
Seth Meyers,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Seth Oster,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Shannon Watts,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Shari Redstone,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sharon Jackson,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sharon Stone,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Shauna Perlman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Shawn Levy,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sheila Nevins,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Shira Haas,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Simon de Beauvoir,Propagande pédophile,,,
Simon Sebag Montefiore,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Simon Tikhman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Skylar Astin ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Stacey Snider,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Stéphane Plaza,Agressions sexuelles,09/2023,,
Stephen Fry,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Steve Agee,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Steve Rifkind,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Sting & Trudie Styler ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Susanna Felleman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Susie Arons ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Taika Waititi,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tankiefield,Transphobie (« ol » n’est pas un pronom valable),06/2022,,
Thaïs d'Escufon (née Anne-Thaïs du Tertre),Misogynie,,,
Thaïs d'Escufon (née Anne-Thaïs du Tertre),Racisme,,,
Thierry Ardisson,Royaliste,,,
Thierry de Montbrial,Tendance fasciste,2015,https://www.crsi-paris.fr/comite-strategique,
Thierry Roland,Racisme,,,
Thomas Kail,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tibo In Shape,Zéro conscience de la portée de son statut en ligne,Carrière,,
Tiffany Haddish,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Till Lindemann,Viol et Agressions sexuelles,06/2023,,
Tim Burton,Défend Johnny Depp,09/2023,,
Tipeee,"Accepte de financer les gens au discours nazi sans sourciller, même après signalement",2019,,
Todd Lieberman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Todd Moscowitz,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Todd Waldman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tom Cruise,Scientologie,Vie,,
Tom Freston,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tom Werner,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tomer Capone ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tracy Ann Oberman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Trudie Styler,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tugdual Derville,Manif pour tous,2011,,
Tupac Shakur,Viol,1995,https://www.xxlmag.com/tupac-sexual-assault-case-sentence/,
Tyler Henry,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tyler James Williams,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Tyler Perry,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Valérie Pécresse,Fraude (élections 2017),2017,,
Valérie Pécresse,Manif pour tous,2011-2014,,
Vanessa Bayer ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Vanessa Paradis,Défend Johnny Depp,11/2022,,
Veronica Grazer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Veronica Smiley,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Victor Aubert,Manif pour tous,2011-2014,,
Whitney Wolfe Herd,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Will Ferrell,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Will Graham,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Will Smith,Scientologie,,,
Will Smith,Tournage « méthode Williams »,,,
Winston Churchill,Racisme,,,
Woody Allen,Pédophilie,06/2023,https://www.public.fr/News/Ce-que-je-pense-de-l-affaire-Polanski-Jean-Dujardin-met-les-choses-au-clair-et-ne-changera-pas-d-avis-1777118,
Yamanieka Saunders,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Yariv Milchan,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ynon Kreiz,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Yval Attal,Masculinité toxique,2018,"https://www.marieclaire.fr/,yvan-attal-interview-film-partir-et-les-regrets,20198,33178.asp",
Zack Snyder,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Zoe Saldana,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Zoey Deutch,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Zosia Mamet,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Mylène Farmer,Propagande pédophile,2000,Chanson Lolita,
Mylène Farmer,Propagande pédophile,2018,Chanson SEXTO,
Laurent Boutonnat,Propagande pédophile,2000,Chanson Lolita,
Laurent Boutonnat,Propagande pédophile,2018,Chanson SEXTO,
Olivia A. Bugnon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Michael A. Russ,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Erika Abrams,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Marguerite Aflallo,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Fortunio Aflallo,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Stéphane Agussol,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Fatih Akin,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Yves Alberty,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Stephane Allagnon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Brice Allavoine,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Woody Allen,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Pedro Almodovar,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Gianni Amelio,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Greta Amend,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Wes Anderson,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Michel Andrieu,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Roger Andrieux,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Pascale Angelini,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Yannick Angelloznicoud,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Jacques Annaud,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Bernard Anne,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Tomas Arana,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Frédéric Aranzueque-Arrieta,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Alexandre Arcady,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Fanny Ardant,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Judith Arlt,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Marie-Hélène Arnau,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Stéphane Arnoux,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Darren Aronofsky,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Stéphanie Arques-Voitoux,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Olivier Assayas,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Alexander Astruc,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Simone Audissou,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Gabriel Auer,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jennifer Augé,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Zdzicho Augustyniak,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Alexandre Babel,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Vladimir Bagrianski,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Yves Bainier,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Hélène Bainier,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Lubomila Bakardi,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Fausto Nicolás Balbi,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Eleonor Baldwin,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-François Balmer,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Alberto Barbera Museo nazionale de Torino ,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Sylvie Bardet-Borel,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Ruth Barensteiner,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Luc Barnier,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Christophe Barratier,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Ernest Barteldes,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Carmen Bartl,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Pascal Batigne,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Sylvette Baudrot,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Anne Baudry,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Henning Bauer,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Tone Bay,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Juan Antonio Bayona,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Xavier Beauvois,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Liria Begeja,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Matthieu Béguelin,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Gilles Behat,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Jacques Beineix,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Marco Bellochio,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Yannick Bellon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Florence Bellone,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Monica Bellucci,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Véra Belmont,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jacqueline Belon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Marc Benguigui,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Djamel Bennecib,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Saïd Ben-Said,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Luc Béraud,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Pierre Berckmans,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jacob Berger,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Christof Berger,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Alain Berliner,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Gael Garcia Bernal,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Pascal Berney,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Xavier Berry,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Paul Bertin,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Bernardo Bertolucci,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Giuseppe Bertolucci,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Marie Besset,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Nico Beyer,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Marlène Bisson,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Arnstein Bjørkly,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Lucien Blacher,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Virginie Blanc-Brude Bard,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jean-Marc Bloch,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Léa Bloch,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Marks Blond,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Catherine Boissière,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Anne-Sylvie Bonaud,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Olivier Bonnet,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Thierry Boscheron,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Renata Bosco,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Freddy Bossy,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Claudia Bottino,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jacqueline Bouchard,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Louise Anne Bouchard,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Patrick Bouchitey,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Cédric Bouchoucha,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Paul Boujenah,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Patrice Bourbon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Frédéric Bourboulon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jérôme Bourgon,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Etienne Boussac,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Christine Bouthemy,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Katia Boutin,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Elizabeth Brach,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Ian Brady,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Jacques Bral,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Sophie Bramly,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Paulo Branco,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Patrick Braoudé,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Guila Braoudé,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Edwin Brienen,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Adrien Brody,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Stéphane Brodzki,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Isabelle Broué,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Max Brun,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
 Merima Bruncevic,Pétition pour libérer Polanski. Aucune forme de rétractation connue depuis.,2009,https://ohnotheydidnt.livejournal.com/39618660.html,
