Source,Target,Date,Preuves,Mea Culpa ?
Bernard Kouchner,Soutient l’entreprise Total,2003,https://www.lalibre.be/international/2003/12/13/kouchner-defend-total-polemique-DN4Z4NJYMBGX3BTR2HUVLNMGRI/,
Bernard-Henri Lévy,Se fait sa notoriété sur les zones de guerre.,2022,https://www.ladepeche.fr/2022/03/19/guerre-en-ukraine-le-tag-de-bernard-henri-levy-a-odessa-suscite-lhilarite-des-internautes-10180859.php,
Bertrand Cantat,Féminicide,2003,https://www.gala.fr/l_actu/news_de_stars/bertrand-cantat-raconte-comment-il-a-tue-marie-trintignant-son-recit-glacant-face-au-juge_438500,
Billy Crystal,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Blair Kohan,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bob Lennon,Appel du pied régulier à l’extrême-droite.,Toute sa carrière,Ses réseaux sociaux,
Bob Odenkirk,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bobbi Brown,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bobby Kotick,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bouseux Magazine,Agressions sexuelles. Viols. En fait son fond de commerce.,2021-2022,,
Boy George,Viol et séquestration,2009,https://www.theguardian.com/uk/2009/jan/16/boy-george-sentenced-handcuffing-male-escort,
Brad Falchuk,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Brad Pitt,Violence contre angelina jolie,,,
Brad Pitt,Violence couple et enfants,2016,https://www.europe1.fr/people/brad-pitt-aurait-etrangle-et-frappe-ses-enfants-affirme-une-nouvelle-plainte-dangelina-jolie-4138729,
Brad Slater,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bradley Cooper,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bradley Fischer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Brett Gelman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Brian Grazer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bridget Everett,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Brigitte Macron,"Grooming, viol sur mineur",Scolarité Macron,,
Brooke Shields,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bruce Benamra,Soutient Tipeee car intérêt pécuniaire derrière,2020,,
Bruna Papandrea,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Bruno Gollnisch,Racisme,Carrière politique,,
Camel Bechikh,Manif pour tous,,,
Cameron Curtis,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Caroline Cayeux,Homophobie crasse,14/07/22,,
Casey Neistat,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Catherine Deneuve,Anti-féminisme,,,
Cazzie David,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Cee Lo Green,Viol,2012,https://www.theguardian.com/music/2014/sep/02/cee-lo-green-it-isnt-if-the-victim-is-unconscious,
Chantal Delsol,Manif pour tous,2011-2014,,
